exported match

name,href,isBench
"Adam Jones","https://www.mlb.com/player/430945",FALSE
"Alex Avila","https://www.mlb.com/player/488671",FALSE
"Andrew Chafin","https://www.mlb.com/player/605177",FALSE
"Archie Bradley","https://www.mlb.com/player/605151",FALSE
"Carson Kelly","https://www.mlb.com/player/608348",FALSE
"Christian Walker","https://www.mlb.com/player/572233",FALSE
"David Peralta","https://www.mlb.com/player/444482",FALSE
"Eduardo Escobar","https://www.mlb.com/player/500871",FALSE
"Greg Holland","https://www.mlb.com/player/518813",FALSE
"Jake Lamb","https://www.mlb.com/player/571875",FALSE
"Jarrod Dyson","https://www.mlb.com/player/502481",FALSE
"Ketel Marte","https://www.mlb.com/player/606466",FALSE
"Matt Andriese","https://www.mlb.com/player/542882",FALSE
"Nick Ahmed","https://www.mlb.com/player/605113",FALSE
"Robbie Ray","https://www.mlb.com/player/592662",FALSE
"Wilmer Flores","https://www.mlb.com/player/527038",FALSE
"Yoan Lopez","https://www.mlb.com/player/661255",FALSE
"Yoshihisa Hirano","https://www.mlb.com/player/673633",FALSE
"Ildemaro Vargas","https://www.mlb.com/player/545121",TRUE
"John Ryan Murphy","https://www.mlb.com/player/571974",TRUE
"Luke Weaver","https://www.mlb.com/player/596133",TRUE
"Matt Koch","https://www.mlb.com/player/571863",TRUE
"Merrill Kelly","https://www.mlb.com/player/518876",TRUE
"Zack Godley","https://www.mlb.com/player/643327",TRUE
"Zack Greinke","https://www.mlb.com/player/425844",TRUE
